asin,rating,text,sentiment_label,predicted_label
B07N5XKK95,3.0,"The ear pieces are not replaceable there are no different size tips for these so they fit or they don't. If they do they sound pretty good. Fit, for me, wasn't uncomfortable though I have worn earbuds that were much more comfortable. There's some good bass and the high ends are reasonably sharp. The mid-range isn't muddy though it's a little. . . in the back. I've used these for hours at a time even fallen asleep while wearing them. They're okay walking around the house, no idea how well they hold while running or exercising.",positive,positive
B0748NCPRR,1.0,Far too bass heavy; the sounds seem to come out like a rock. Jazz sounds like a drowning cat; anything with horns or strings just forget about...rappers will love this useless speaker as it muffles all hope of actual music.,negative,negative
B071R95N8P,4.0,"You will need a soldering iron, solder and a 12V power supply with a DC 5.5 connector.  I was pleasantly surprised after I have gotten through putting it together that actually does work.  This kit includes a stick of glue you heat up to attach the coil to the circuit board and thermal sink grease you apply to the back of the two integrated circuits.  This is a good thing to include because those can get rather hot.  The power supply I'm using outputs DC 12-volt 0.5 amp, which is just what I had on hand. It works all right even though a DC 12-volt 2.0amp supply is recommended.  I took off one star because the included 3 mm audio cable didn't work, but I had one already that I did use.",positive,positive
B010XHCQGK,5.0,"To say that I am pleased with this system is an understatement!  It arrived well-packaged and is easy to assemble.  The system features are more than I expected - Dual USB, Auto D.J., Bluetooth, and Wireless Sound Sync.  The speakers are crazy good and the Bluetooth capability is outstanding.  The only complaint is the CD player allows only one disk at a time however with the other features, maybe that's not so bad afterall!",positive,positive
B00DVFLJDS,2.0,"Update on 12/29/14...This was the biggest waste of money ever. It crashes regularly, sometimes hourly, at least daily. There's no seeming correlation between activity and crash, and it often happens when I'm not even using it. Screw this; I am done with ASUS......<br /><br />I'm on my second one of these, after the first was replaced. When it works, it's a great little device. Fast processor, better wi-fi reception than any of my other devices, brilliant screen, excellent battery life. However, this replacement has the same exact problem as the one I sent back: it frequently shuts down and restarts itself. It's not just going to sleep, but rather fully shutting off with a crack of the speaker and reload to the google screen. When it happens, all of the open/recent apps are cleared. This problem doesn't happen all the time, but when it does it will be a handful of times a day for a number of days...then it'll be fine for a couple weeks, then it starts all over again. It can be pretty infuriating, but i'm not using it for anything so critical that I'm willing to spend a couple hundred more for something else, or the same price for something that is inferior though more reliable.",negative,negative
B087JVV8FK,5.0,"Wireless headphones are all the rage right now, but sometimes I just want a good wired pair. When I'm using laptop especially, using Bluetooth headphones introduces lag and another thing that needs to be charged. These are excellent premium feeling wired 'phones that include an inline mic and controls if your device supports it. When used with my desktop that offers only a TRS plug (only two lines), it works as just a pair of headphones, with decent sound quality and bass response. On my LG phone or laptop which accept a TRRS plug (3 lines), the mic works as an input as well. My laptop didn't respond to the volume control buttons, but I think most phones will. Regardless, I'm impressed with the quality and presentation for the money this costs.",positive,positive
B08RY4XLSP,5.0,"My friends and I have had so many pool parties this year and this speaker has been amazing. The speaker is like having a full sound system out at the pool and it's amazing. It's got amazing sound, bass, and it's loud, which is what you want out at a pool party. We love this speaker and are so happy with it.",positive,positive
B00F54Y6GU,1.0,I chose these because of an excellent technical review I read on Amazon. Very happy now. They fit snuggly. Have a great sound. Easy to pair with Bluetooth. There is a large ambient light on the exterior of one side that reminds me to turn them off when thru meditating so they don’t run down.  UPDATE: after about 5 months they quit working and will not charge. Dead battery. What a great.,negative,positive
B08GBXQ63G,5.0,AMINY U-Two Earbuds Wireless Headphones with Microphone True Wireless Earbuds Waterproof IPX6 Earbuds Wireless. Amazingly comfortable on the ears.  OZ,positive,positive
B0799NPHGD,5.0,Very simple and easy to use.<br /><br />Bluetooth setup is straight forward.  Add your batteries to power it up and you’re good to go.<br /><br />Got this for my wife for her mac book air and it provides the number key she felt she was missing,positive,positive
B01DFKC2SO,5.0,Really enjoy the Echo.  I did buy the speaker which allows you to use the device using Bluetooth rather than having to plug it in.  Better volume and sound quality. Great for under $100.,positive,positive
B00M38O3JG,5.0,"I received this as a free review sample five and a half months ago and it's been invaluable. If your laptop has a fully functioning internal fan this array will augment that and keep your laptop cool even in unairconditioned spaces on a hot day. That will definitely prolong the life of the internal electronics and the hard drive.<br /><br />This fan array moves a lot of air, promoting excellent heat transfer. However, it can interfere with other USB peripherals if you power it directly from your laptop, and especially if you add even more peripherals to the ports integrated into this unit. That is because the power draw form USB ports may exceed the capacity of the laptop, especially if you are running it off an unpowered USB hub. I had that problem when I tried running this, a mouse and a speaker from my laptop. I moved this one to a powered hub and the problem was immediately resolved.<br /><br />If you are set in your ways regarding keyboard height know that this raises a laptop 1 3/8 inches higher at its lowest setting. For me it took a day to become accustomed to the raised typing height, but since it solved a genuine problem the tradeoff was worth it. Just know that you will need to adjust to that and it may slow down your productivity for a day or two.<br /><br />One final note: if you live or work in a high dist environment take the time to shut this fan array down and blow it out with compressed air. It will greatly prolong the life of the array and will also ensure that it doesn't become noisy.",positive,positive
B00J8DL78O,3.0,"This is a fun, useful tablet for the price. I love that you can make all different homepages. Love that you can pick wallpaper which you can't do with Kindle Fires which are the only other tablets I've owned. Of course, if you want a tablet<br />mainly for books, Kindle is the tablet you want. I also love all the apps you can get with the Samsung. What I don't like is the 8gb storage. I was under the impression if you got the 32gb  extra it would integrate with the tablet rather than just be like a drive for mp3s and such. 8 gigs is barely enough for the apps you need. Also the manual tells you nothing about how to add things to the extra drive.  Had to go to you tube. My tablet has connection issues from time to time.<br />I still really  enjoy it most of the time. It can be super fast and plays things well from the cloud. Very light and attractive.<br /><br />I am returning tablet. 8 gbs is just not enough. Extra storage cumbersome to use and doesn't work half of the time.  Not easy like the cloud. Speakers unimpressive. I am disappointed because I thought I would like the Samsung. Also a battery hog. Will try the nexus 7.",positive,negative
B002ZODFS8,5.0,This works great. We used this on vacation to watch a movie. Just plugged it into the iPad and both of us plugged out headphones into and voila.....great sound. Didn't lose any sound quality at all. It seems a little thin and I figured it would not last that long when it came but thought if it got me through the vacation I would be happy. That was a while back and it still is going strong.<br /><br />Best splitter I have ever had,positive,positive
B07ZWZZZ71,5.0,"I was happy with the quality of this microphone. It worked very well. It seems like a little nicer one. It was very sturdy, which was good, because some of these are so thin they constantly fall over. It has a good stable base.<br /><br />The sound was good. It picked everything up well. It was good for all the conference calls we are making now. I liked that it had an adjustable button. I felt like it was a decent value for the quality you get. I would recommend it.",positive,positive
B082YTP6NR,5.0,"I received my package yesterday. This was a 1 day delivery which was great! So far so good, everything is going great with my new headphone adapter. Thank you for such a great deal with the two for one.",positive,positive
B08H1T8CGP,4.0,"This is a decent black backdrop for use in studio setups for photography or video. It can be held up using standard equipment like a rod and muslin clamps. I found, however, that the material has a touch of a sheen to it. It isn't a huge deal and honestly can be easily worked around, but it seems to reflect a little more light back at the camera than other backgrounds if you aren't careful. For example, a hair light that I've used before on other backgrounds spilled a bit onto this and it made a visible area of the frame brighter. I had to use some larger barn doors on the light to deflect it better, but the point is a more expensive and professional level material might not have needed that.<br />For the budget I'd say it is still good and worth using to get a black background on the cheap.",positive,positive
B002GQRROS,5.0,These fit really comfortably in the ear and around it. I find that these actually want to stay in my ear unlike other earbuds and I love the fact they wrap around the ear because it makes them so much more comfortable to wear. They also have really great sound and works perfect with my ipod.,positive,positive
B09WDQ8X5J,5.0,The speaker is small and portable enough to fit into a large pocket yet can produce some very respectable volume with its 14W power. My daughter found this is a great way to turn a fanny pack into a hip-mounted sound system (she's a counselor in a summer camp and using this speaker a lot). The sound is surprisingly immersive and the fact that it is waterproof enough to use around the pool or in the rain is a huge bonus. Great speaker!,positive,positive
B07S1WVH4Y,5.0,I have other speakers from this brand- they are a great price with really nice sound quality- even when your outdoors.<br />I opted for this particular one due to the fact it looks like a rock 🪨!<br />It blends in nicely into our patio set up and the kids can hook up to it and listen to their music while playing outside.,positive,positive
B00E3EVXVY,5.0,"When I accepted a review sample of this holder I had visions of using it to entice my constant companion to sit in the back and play with her iPad. Indeed, this hooked right onto the two posts of the front seat headrest that would allow a backseat passenger to watch movies and do whatever else they use the iPad for. My companion did not take the bait, so I was left with a review sample that, frankly, I could not give away.<br /><br />Necessity is the mother of invention and the best use for this mount was in my music room. This hooks into my [[ASIN:B000CDUDQG Belmonte Orchestra Stand Deluxe Black]] to mount an iPad and still have room left for sheet music and a [[ASIN:0961470143 The New Real Book - Volume 1]]. I have uploaded customer-supplied photos to show how this securely attaches to the stand and holds an iPad in place (it will work with any tablet up to 10 inches.)<br /><br />I love how this holder allows you to place your tablet at practically any viewing angle, and also how it positively and absolutely holds the tablet in place. For the record, these claims apply equally to the dual headrest posts in my 2014 Outlander and to the music stand cited above.<br /><br />Personally, the manufacturer is missing a major market because tablets are now common on stages and in studios and I suspect that there is a much larger market for this holder than significant others who refuse to be relegated to the back seat. I am so pleased with this holder that I have already recommended it to fellow musicians.",positive,negative
B003VAHYTG,5.0,"Wow, wonderful computer speakers. For music and games these speakers are absolutely fabulous for a desktop computer system. You will not find better 2.1 desktop computer audio anywhere.",positive,positive
B07P5R2D42,5.0,"IBI - THE SMART PHOTO MANAGER (US Version) makes it super easy to extract, back up, and share photos stored on my mobile devices.  Instead of emailing cell phone photos that I want to share among electronic devices (an iPad Air (3rd Gen), a desktop PC, and a Samsung Galaxy cell phone), I can upload the photos to Ibi via a network connection with only a couple of clicks in the Ibi app.<br /><br />No longer do I have to address an email, select and add the photos, send the email--and then reverse the process on a second device (open the email, download the photos, and save the photos to the device).  All that’s necessary is to take the photos, open the Ibi app, choose “import photos”, select the photos, and hit the import button.<br /><br />The photos are immediately uploaded to Ibi, and I can access them immediately on all of my other devices.  There is no need to clutter up email or to consume precious storage space on my mobile devices, when all I want to do is share photos.<br /><br />Ibi is extremely versatile.  It allows you to sort and organize photos, and create Albums.  It allows you to authorize certain people to email photos directly to Ibi.  It allows you to set up different areas of Ibi for the use of individuals.  It allows you to upload its contents to a PC or other even larger storage device by plugging in a USB cable (not included).  It even allows you to stream your videos to a television set (using Chromecast or Roku apps).<br /><br />Ibi is easy to set up, using Bluetooth.  My iPad and my Galaxy phone both found the powered on (plugged in) Ibi in less than 30 seconds.  Once set up, Ibi communicates via your home network’s Internet access.  When your Ibi app is set up, click on Help, and download the complete user manual (a PDF file).  The manual is easy to understand, and will enable you to get the most out of your Ibi.<br /><br />Ibi is a small drive that easily fits on a bookshelf.  It uses just one power cord.  I really love this Ibi storage drive.  It is simplifying my life.<br /><br />+++++IMPORTANT NOTE: You should NOT choose “automatic backup” in the Ibi app Settings until you understand how the app works.  With automatic backup enabled, Ibi will copy all of the photos stored on EACH mobile device, and you will probably get a lot of duplicate photos.  For example, if you have been sharing and storing the same photos on an iPad and a cell phone, Ibi will copy the photos from each device.  Worse, if you go into Ibi and delete the duplicates, Ibi will keep automatically adding the photos back as long as the photos still exist in storage on the two different devices.<br /><br />You will probably want to use “automatic backup” when you first set up your Ibi.  That way all of your photos will be automatically copied to Ibi to start you off.  But you should turn “automatic backup” off before you start deleting duplicate photos.  You will never have a problem with duplicate photos if automatic backup is turned off.+++++",positive,positive
B08QXFD2WQ,5.0,"I got this to replace a Toshiba fire TV that was showing it’s age. I didn’t like the fact that the Toshiba lacked some normal features that you would see on a normal TV like being able to adjust the aspect ratio. Crazy. It also came with extremely limited app storage and you couldn’t delete half the apps that were taking up the limited storage. So far the Google TV operating system seems faster and easier to use. The picture is gorgeous. I don’t have cable, so I rely on digital OTA channels or streaming channels. I had to tweak the color slightly for my taste, they had the oranges and reds boosted a little too much. But it’s really fantastic. The sound is really good too, although, I am not an audiophile, and I don’t rely on my TV as my primary music source like some people seem to do. It has a cool feature where the sound is customized to the acoustics of your room and your position in it. You run this calibration holding the remote at chest high and the TV plays some sounds that sounds like space invaders and the remote records them and adjusts the sound accordingly. Oh, yes, the remote has a microphone built-in do it so you can use voice search and other voice activated features. The TV was easy to set up, although the whole linking of the Google accounts and all the other things they want you to sign up for was a bit of a chore. I opted out of some and kept others. Your mileage may vary. The table top stand is the easiest to install that I’ve ever seen, you just plug it into the bottom and there it is. No dealing with screws or anything like that. There are a decent number of HDMI inputs and two USB ports, so that’s a plus. Finally, while it says you need to people, I didn’t have two people and it was not that difficult to handle the TV. You do need to be really careful not to press on the LCD, which is a given for any TV. But the TV only weighs less than 30 pounds so it was easy to carry. All in all, it’s a really nice TV. I think it’s a little pricey, but you’re paying for the Sony name. And it does appear to be excellent quality.",positive,negative
B001EYU3LC,1.0,"Not recommended for daily use, as durability is lacking...<br /><br />Vinyl ear covers on these headphones allow human sweat to build up around this area and find its way into the ear.  Previous model was better in this respect. Balancing of R and L headphones seem better, but N/C feature looses effectiveness as wear and tear brings a looseness to any grip around human ears.  Nothing from this system is expected to last more than 20 days of use. Expect failure soon after store warranty or sony warranty expires.  Not durable.  Not a sports headphone.  Also, expect wires to loosen their ability to transmit sound in about 20 days or so, due to wear and tear.  Again, not good for sports usage, like at the gym and on an eliptical machine.  Sorry.",negative,negative
B00OBSKR64,1.0,Hated these. Returned them. Made the earbuds more uncomfortable in my ear. The tackiness of the rubber material collects ear junk too.,negative,negative
B005890CJM,5.0,"Before buying the Kindle Touch 3G, I visited a Target store to see and handle the different Kindle e-readers.  I immediately loved the simplicity, elegance, and convenience of the Kindle Touch 3G.<br /><br />My sole desire is to read books easily without any distraction by the device that I am using.  The Kindle Touch 3G is simple to use: ""intuitive"" is the word that ideally describes the operating features of this e-reader.<br /><br />You can swipe the page to turn (as with any paper page) or tap.<br /><br />Two toolbars disappear while you are reading, but both are accessed simultaneously with a simple tap at the top of the screen.  A functional toolbar (allowing you to shop at Amazon, see battery status, etc.) appears at the top; a reading toolbar (allowing you to change font, etc.) appears at the bottom.  Both are easy-to-use:  just tap the choice you wish to make.<br /><br />You have only two buttons to click on a regular basis:  the on/off button at the bottom edge of the device and the Home button (looks like a tiny speaker) located just beneath the viewing screen.<br /><br />You must hold the on/off button for approximately 7 seconds in order to power-off completely; otherwise, the screensaver will appear indefinitely.<br /><br />Other features are available and are easy-to-master; however, you can begin reading out-of-the-box if you have a Kindle on your PC.  The system automatically duplicates your archived items.<br /><br />If you do not have a Kindle on your PC, you can begin reading once you register by entering the email and password that you use at Amazon.com.  It is VERY, VERY easy to register:  very user friendly.  The screen and enclosed guide ""walk you through"" the simple process.<br /><br />The Kindle Touch 3G is elegant.  I also bought the case ($39.99).  Together, the two items are almost as slim as a DVD and case rented from a Red Box.  The design is sleek, slim, and pleasing to use.<br /><br />Convenient? I found myself yesterday racing to an emergency room at my doctor's request.  While waiting to be seen, I pulled-out my Kindle Touch 3G, began reaading a Sherlock Holmes short story, and had ""no worries"" about battery life or connectivity.<br /><br />I heartily recommend the Kindle Touch 3G to anyone with an older relative who loves to read and may not have WiFi access OR who needs larger type in order to better enjoy the reading experience.",positive,negative
B0793HNSQG,5.0,"You know what happens when two former computer and electronics geeks get old and try to install a new Sony Z9F Soundbar? They darn near had a big argument. Voices were raised. Ugly things said. In the end, with my help (previously refused my help), the Soundbar got installed. He could not figure out why the Bluetooth wasn't connecting to the sub woofer. I found it in the book and we went through the steps manually. Now we have base and surround sound without using 5 speakers, a sub woofer and an Onkyo amplifier. The sound is already better and we haven't even hooked up the rear speakers. We are still exploring the different sound modes. Tomorrow the rear speakers will be installed and we will be watching a new movie I just got from Amazon: The Greatest Showman. I am expecting a concert-like experience. I believe my expectations will be met. There are so many features to explore, but so far, it is wonderful!",positive,negative
B00GYL9KK0,5.0,"I received this as a free review sample and have been using it often for the past eleven months.<br /><br />My main use is to house some microphones, adapters and miscellaneous electronics I use when performing as a musician. For that use this is ideal. Plus the inside and outside zippered pouches make this even more versatile.<br /><br />The does an excellent job of protecting the delicate microphones and adapters that I store in it. I am not using the dividers as vertical separators the way they were designed. I lay them on top of the mics, and then store the cables on top. That arrangement is perfect, and the bag and insert are relatively light and sturdy.<br /><br />Eleven months of use are testimony to just how truly gig worthy this bag is for what I use it. Based on this the insert will probably last a long time, and the overall construction, though lightweight, will probably last if this is used for its intended purpose of protecting a DLSR or other photo equipment.",positive,positive
B010OYASRG,5.0,"I like this speaker! The case is very worth it, also!",positive,positive
B08YRKWRJK,4.0,These actually worked better than i expected. They are very thin so you can still put your earbuds in the case to charge without taking them off. I didn't have a problem putting them on because i read someone else's suggestion of putting them on inside out. My only complaint is that they slip off really easily. I've pulled them off several times just handling the earbud and they are harder to get on when they are not new.,positive,negative
B07GRNHTTY,4.0,"These earbuds are a little on the bulky side (at least for me), but the sound quality is decent and I like the wire that attaches the buds. I've lost the separate bluetooth earbuds multiple times but the ear phones with the wire that connects to the device gets caught on EVERYTHING so these are a Godsend! Lasts for hours and charges up quickly. They eventually do hurt my ears after wearing them for an hour or so but then you should be wearing them for that long and my ear holes are on the smaller side even with the small silicone ear attachment. Really decent and worth it to have!",positive,positive
B089VT8KYF,5.0,"This DAMFEYA APPLE CERTIFIED LIGHTNING TO 3.5MM HEADPHONE JACK ADAPTER DONGLE (for iPhone, iPad, iPod) really works!  It eliminates the need to purchase Bluetooth earbuds/headphones for any late-model Apple product that has a lightning cable port but lacks an audio jack.<br /><br />To use the dongle, you plug it into your device’s lightning port, then plug your cabled earbuds/headphones into the dongle.  Sound levels and playback are controlled by the Apple iOS.",positive,positive
B00Q4KNP5C,4.0,"I'll get the things I do not like about the review sample that I received out of the way first so I can finish on a positive note. Basically these phones have a distinct bias towards the higher frequencies, with a crossover to bass in my right ear and flat mid range response. In other words, if you are a critical listener you may want to consider other phones on the market.<br /><br />I was able to get decent bass response in my right ear using my phone's EQ app, but could not get any decent mid range. The net result is music sounds one dimensional (even with the bass response in one ear.) I am guessing that the crossover threshold is such that you get high frequencies in one ear and low in the other, with the mid somehow cut out or deemphasized. For folks who listen to audio books and inspirational or educational material this will not be an issue.  I will say that even with the volume cranked the high end did not break up or become tinny.<br /><br />From a comfort perspective I had no problem wearing these for three hours with the medium buds that ship with it along with small and large ones. And I love the way they were securely held in place with the ear hooks.<br /><br />Another feature that I like is the cable is flat and tangle-free. Of course, the nicest feature is they are, indeed, waterproof.<br /><br />Bottom line: sound quality for music is lacking. However, if you are a casual listener and are into jogging, strenuous activities and wet environments these may be perfect. As much as I complained about the sound, I cannot find fault in the construction or ability to withstand harsh environments.",positive,negative
B00IU2D9VM,5.0,"I've had these for years and I swear by the one pair I have (yep - I've had one pair for years, still just as good). I have tiny ears and most other earbuds will hurt after too long, but these are perfect. They will NOT fall out of your ears either. The sound quality is just as good as my apple headphones. They're also really easy to clean. Get them!",positive,positive
B07D36JJZT,5.0,"These speakers are mobile. I use them in the park, beach or anywhere I choose.  Light weight with incredible sound for their size. BRAVO",positive,positive
B00140DBRY,5.0,"I bought one of these from another company for around $25.00.I was hesitant at first because it's a lot of money for a radio that you can only use with a headphone or ear buds but i took a gamble knowing it's a brand name and i figured that if i don't like it, i can always return it.Damn...this radio sounded great & i didn't know at first but it has a stereo sound and not like one of those radios that sounded tinny w/ a lot of echos (G.E.Radios are notorious for this!) I decided to keep it and the channels lock-on in the push of a button if you set your favorite channels.I never regretted buying this and after 6 years of daily use and dropped it numerous times, it's durability still amazes me and the thing just works EVERY TIME! you cannot buy anything better than this radio for the price in my opinion...if you do please let me know but it has to be $25.00 & lower.Good luck if you can find something like a Grundig radio for this price(they usually starts @ $60.00 & above)...",positive,negative
B085NPCQLT,5.0,"I love these earbuds! I had been using the tozo T10s for about 3 years before I got these (those still work awesome btw) but the sound quality on these is unmatched! they sound really clear and the noise cancelling just adds to that. the noise cancelling could be a tiny bit better, but the transparency mode is where it really shines for me. even with my old ones (that didnt have noise cancelling at all btw) i always found myself taking out one earbud so I can pay attention to my surroundings, but with these I don't need to do that! I also appreciate all the extra rubber caps and the fact that its USB-c charging :) overall 5 stars and I recommend these to anyone who wants good sounding headaches to travel with or bring to work.",positive,positive
B07F2YM49C,5.0,"These seem to be a pretty great option for over-the-head style headphones that fold for storage and are still affordable. My son's back to school list required a pair of headphones for some computer lab work, and he hates the earbud style ones. This is comfortable for both kids and adults, has a decent amount of noise isolation, and even has the inline mic for TRRS plugs like a phone if used in that type of setup. Extra points because they actually look more expensive than they are. My son loves them!",positive,positive
B07VD3M6M3,5.0,"These headphones are amazing, sound is good quality and the bass is good. My son has the Samsung galaxy buds and my daughter has these. He actually likes these better. Would highly recommend",positive,positive
B09DCTN5ZS,5.0,"[[VIDEOID:9b88dadfbf58bb503f1928922845b685]] I ordered this dash camera after stumbling across a dash-cam video on the internet & realized I could potentially save myself a lot of hassle either in an accident or even a police encounter. I had one a few years ago when I had a long commute but these days I do most of my driving in rental cars & in unfamiliar areas I wanted something small, portable & quick to install. This camera just takes a second to stick to the windshield with the suction mount & it takes a mini USB plug for power. It comes with a 12V port adapter with a very long cord but I mostly power it with a short USB cord & my own adapter.<br />I'm very pleased with the video quality & sound. I have tested it with 1080p30 1020x1080 & 720P60 1280x720. Given the long record time with the included 32gb memory I will probably keep it at 1080p. The microphone picks up the sound of the turn signal switch which is good & also my singing to the radio which is bad.<br />I don't know how well the video resolution will come across in the attached video but I'm impressed with the image I get on my computer, especially files made at night. In reviewing the videos taken at 1080p (& with my filthy windshields), I have to be right behind car to make out its license plate. I have since maxed out the resolution to 1440P because of this but I'm not sure it made that much difference. The wide angle also tends to make things look further away than they are, the car in the last clip was much closer to my car than it looks in the video.<br />The included 32gb memory card holds over 4 hours of video at 1080p30 1020x1080 resolution & that's day & night. The camera will over-write files that aren't saved & it has a ""save"" button that stores files where they won't be over-written. The software also has an adjustable feature that automatically saves files where an impact is detected. In the 2 cars I have used it, a big pothole or bump in the road will trigger an incident on the medium setting (see my video). The camera will also take still a still picture when the impact detection is triggered or the file is selected for saving.<br />The camera doesn't have it's own battery but so far it has managed to save the last file if the car shuts off the 12v port or usb when the key goes off. I have mine to record short, 5 minute clips as a precaution against this, The clip length is adjustable up to 10 minutes. Without the battery, won't record any activity when the car is parked even if the car is bumped if the cord is not plugged into an active port.",positive,negative
B0047T79VS,5.0,"Range limitations notwithstanding, this receiver has dramatically expanded the usefulness of my Droid X by allowing me to play my music through my home stereo system, as well as through my friend's [[ASIN:B001DLTDQC Bose SoundDock Series II Digital Music System for iPod (Black)]] (using an [[ASIN:B000068O51 Hosa YRA154 1/8 Male To Dual RCA Female]] to adapt the Belkin to the Sounddock since my Droid will not fit the iPod cradle.)<br /><br />One reason I do not have a problem with the range is I am usually in the room where the stereo is, and sit fairly close to where I have the Belkin receiver located. And, with the Bose rig, that is for taking out to the patio or in the kitchen, so I am in line of sight and pretty close as well.<br /><br />The signal is consistently strong between my Droid X and the receiver, and the sound quality is more than adequate for my old ears. The only thing I would want is for the Belkin receiver to automatically connect with my Droid X in the same manner that the [[ASIN:B003PPGOC0 GOgroove FlexSMART X2 ADVANCED Wireless In-Car Bluetooth FM Transmitter with Charging, Music Control and Hands-Free Calling for ANDROID, iPhone, Blackberry and Windows Smartphones]] I have in my car does. As it stands, I always have to go into my Droid's settings and manually connect the paired Belkin before I can transmit my music stream to it.<br /><br />Overall I am very pleased with this receiver and intend to purchase two more (one for a PA system I own, and a dedicated one for the Bose Sounddock.)",positive,positive
